county,industry,description,notused1,notused2,employment,laborinc,output
Dickinson,58,Construction of other new nonresidential structures,,,403,25627650,66203910
Dickinson,229,Ferrous metal foundries,,,357,26725640,113834600
Eaton,437,Insurance carriers,,,3288,314281200,1573392000
Eaton,464,Employment services,,,2077,60218440,103343900
Eaton,405,Retail - General merchandise stores,,,1794,46421610,131378400
Eaton,411,Truck transportation,,,1696,96037210,271037100
Eaton,534,"* Employment and payroll of local govt, education",,,1680,101623100,114387800
Eaton,502,Limited-service restaurants,,,1608,25098660,117932500
Eaton,531,"* Employment and payroll of state govt, non-education",,,1581,142458700,161729100
Eaton,416,Warehousing and storage,,,1539,82241870,174751000
Eaton,395,Wholesale trade,,,1339,93029080,294662300
Eaton,440,Real estate,,,1317,14902080,180912500
Emmet,464,Employment services,,,1688,38053960,69671460
Emmet,482,Hospitals,,,1489,106009900,207750900
Emmet,440,Real estate,,,971,6816326,109512400
Emmet,502,Limited-service restaurants,,,942,16308560,72286020
Emmet,533,"* Employment and payroll of local govt, non-education",,,904,50717050,57135690
Emmet,501,Full-service restaurants,,,902,20423450,40309830
Emmet,499,"Hotels and motels, including casino hotels",,,725,17672830,72851470
Emmet,526,Other local government enterprises,,,724,33266170,162870700
Emmet,405,Retail - General merchandise stores,,,623,17105920,46808680
Emmet,534,"* Employment and payroll of local govt, education",,,622,45903860,51669790
Genesee,534,"* Employment and payroll of local govt, education",,,9042,605594000,681662100
Genesee,482,Hospitals,,,6784,506122300,971446600
Genesee,502,Limited-service restaurants,,,6607,102116400,478677500
Genesee,395,Wholesale trade,,,6067,391157800,1290260000
Genesee,440,Real estate,,,5987,88250390,880127200
Genesee,533,"* Employment and payroll of local govt, non-education",,,5496,357824900,403110500
Genesee,501,Full-service restaurants,,,5428,103003000,223867400
Genesee,405,Retail - General merchandise stores,,,5139,131241400,374285000
Genesee,475,Offices of physicians,,,4971,477600500,691594400
Genesee,509,Personal care services,,,4268,61559810,109114300
Gladwin,534,"* Employment and payroll of local govt, education",,,325,21610160,24324580
Gladwin,533,"* Employment and payroll of local govt, non-education",,,324,11696360,13176620
Gladwin,483,Nursing and community care facilities,,,250,7872327,14432710
Gladwin,271,All other industrial machinery manufacturing,,,234,18674640,63369100
Gladwin,501,Full-service restaurants,,,233,3156959,8404744
Gladwin,16,Commercial logging,,,217,6952570,19974930
Gladwin,401,Retail - Health and personal care stores,,,176,8979877,17410890
Gladwin,440,Real estate,,,171,2968167,36075940
Gladwin,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,168,674347,4766402
Gladwin,10,All other crop farming,,,161,666162,2283900
Gogebic,526,Other local government enterprises,,,651,30579900,147304100
Gogebic,533,"* Employment and payroll of local govt, non-education",,,444,20292900,22861130
Gogebic,534,"* Employment and payroll of local govt, education",,,428,24183010,27220610
Gogebic,412,Transit and ground passenger transportation,,,329,2975986,14947600
Gogebic,440,Real estate,,,278,3543691,53425720
Gogebic,405,Retail - General merchandise stores,,,265,6868556,19436750
Gogebic,503,All other food and drinking places,,,248,9573484,10249470
Gogebic,482,Hospitals,,,229,18936200,34768740
Gogebic,501,Full-service restaurants,,,181,2309656,6422276
Gogebic,531,"* Employment and payroll of state govt, non-education",,,161,14292320,16225650
Grand Traverse,482,Hospitals,,,3498,228818100,466272200
Grand Traverse,501,Full-service restaurants,,,2877,60608540,124334500
Grand Traverse,440,Real estate,,,2777,22492230,338182000
Grand Traverse,534,"* Employment and payroll of local govt, education",,,2541,159836900,179913800
Grand Traverse,533,"* Employment and payroll of local govt, non-education",,,2015,98603340,111082400
Grand Traverse,475,Offices of physicians,,,1831,212974100,290831000
