county,year,table,sector,description,direct,indirect,induced,total
Clare,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-27.495712299279212,-105.58808140680792,-133.08379370608714
Clare,2014,Output,20,21 Mining,0,-219.53251899224051,-56.130917998163859,-275.66343699040442
Clare,2014,Output,41,22 Utilities,0,-5237.8302247485262,-1502.3485517825789,-6740.1787765311046
Clare,2014,Output,52,23 Construction,0,-3669.4927259034012,-871.57064323840177,-4541.0633691418034
Clare,2014,Output,65,31-33 Manufacturing,0,-1383.4687309352157,-59.925263392043234,-1443.393994327259
Clare,2014,Output,395,42 Wholesale Trade,-392926,-10984.549076557159,-2043.5388180465341,-405954.08789460367
Clare,2014,Output,396,44-45 Retail trade,0,-1222.9784318957841,-4488.5484757316372,-5711.5269076274217
Clare,2014,Output,408,48-49 Transportation & Warehousing,0,-12997.247582327458,-1144.8085319870722,-14142.056114314531
Clare,2014,Output,417,51-56 Professional Services,0,-51346.242783472211,-15610.406800339044,-66956.649583811261
Clare,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-8760.5545951722852,-11596.181854968167,-20356.736450140459
Clare,2014,Output,520,92 Government & non NAICs,0,-5429.2873347327113,-136.79909467427919,-5566.0864294069906
Clinton,2014,Output,0,Total,-1432433.3000000001,-377764.23179325339,-200108.26578569962,-2010305.7975789532
Clinton,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-81.498663135208545,-632.46930078387209,-713.96796391908049
Clinton,2014,Output,20,21 Mining,0,-253.87596195308129,-132.68758998011219,-386.56355193319348
Clinton,2014,Output,41,22 Utilities,0,0,0,0
Clinton,2014,Output,52,23 Construction,0,-10307.885316185069,-4341.8540059223478,-14649.739322107416
Clinton,2014,Output,65,31-33 Manufacturing,0,-35909.664701605121,-2459.6739206187794,-38369.338622223913
Clinton,2014,Output,395,42 Wholesale Trade,-1432433.3000000001,-33468.663020932581,-12092.184424579538,-1477994.1474455122
Clinton,2014,Output,396,44-45 Retail trade,0,-5091.3880229924944,-25041.720299362667,-30133.108322355165
Clinton,2014,Output,408,48-49 Transportation & Warehousing,0,-23828.264718075687,-5169.5567263010962,-28997.821444376783
Clinton,2014,Output,417,51-56 Professional Services,0,-229238.95379899655,-100621.43392209587,-329860.38772109238
Clinton,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-26974.873248078718,-49003.812880895224,-75978.686128973932
Clinton,2014,Output,520,92 Government & non NAICs,0,-12609.164341298863,-612.87271516013402,-13222.037056458998
Crawford,2014,Output,0,Total,-156411.23000000001,-32098.98049788913,-21962.801371536247,-210473.01186942539
Crawford,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-0.0010235493849245496,-5.948057072775577,-5.9490806221605013
Crawford,2014,Output,20,21 Mining,0,-133.51329721676152,-61.34904819592537,-194.86234541268689
Crawford,2014,Output,41,22 Utilities,0,-117.43583864377055,-118.86270636650012,-236.29854501027069
Crawford,2014,Output,52,23 Construction,0,-1117.6648153001993,-463.50216325214501,-1581.1669785523443
Crawford,2014,Output,65,31-33 Manufacturing,0,-511.76044948990585,-57.350006133086957,-569.1104556229925
Crawford,2014,Output,395,42 Wholesale Trade,-156411.23000000001,-2545.3019852721773,-861.01234288438627,-159817.54432815657
Crawford,2014,Output,396,44-45 Retail trade,0,-317.47752982761648,-2387.1647017879941,-2704.6422316156104
Crawford,2014,Output,408,48-49 Transportation & Warehousing,0,-4957.5108343121437,-286.96819738414689,-5244.4790316962908
Crawford,2014,Output,417,51-56 Professional Services,0,-18403.519951366758,-8655.5525149341356,-27059.072466300891
Crawford,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-2274.4539215472655,-8999.0164221559826,-11273.470343703244
Crawford,2014,Output,520,92 Government & non NAICs,0,-1720.3408513631487,-66.075211369167292,-1786.4160627323161
Delta,2014,Output,0,Total,-302866.03000000003,-53214.623130938671,-47411.361623861136,-403492.01475479978
Delta,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-5.1626782703479348,-39.342386697883512,-44.505064968231444
Delta,2014,Output,20,21 Mining,0,-31.992869046473743,-28.963085136440604,-60.955954182914354
Delta,2014,Output,41,22 Utilities,0,-849.37090562990204,-528.290214852031,-1377.6611204819333
Delta,2014,Output,52,23 Construction,0,-1554.9744078105673,-830.28419046872841,-2385.2585982792957
Delta,2014,Output,65,31-33 Manufacturing,0,-629.39596505172096,-101.6172177622687,-731.01318281398972
Delta,2014,Output,395,42 Wholesale Trade,-302866.03000000003,-3348.2539522814914,-1259.4274239309718,-307473.71137621248
Delta,2014,Output,396,44-45 Retail trade,0,-716.87395075037057,-6866.5359975841429,-7583.4099483345126
Delta,2014,Output,408,48-49 Transportation & Warehousing,0,-8875.0703560449656,-1360.8258949585318,-10235.896251003498
Delta,2014,Output,417,51-56 Professional Services,0,-28295.34555325871,-18408.506006014224,-46703.851559272924
Delta,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-5891.1467632795138,-17838.898323340978,-23730.045086620492
Delta,2014,Output,520,92 Government & non NAICs,0,-3017.0357295146027,-148.67088311493967,-3165.7066126295422
Dickinson,2014,Output,0,Total,-452791.71999999997,-74221.534258017695,-63088.31368012778,-590101.56793814537
