county,year,industry,description,notused1,notused2,employment,laborinc,output
Clare,2014,441,Owner-occupied dwellings,,,0,0,101485200
Clare,2014,395,Wholesale trade,,,441,10500690,64368100
Clare,2014,534,"* Employment and payroll of local govt, education",,,896,57124480,64299810
Clare,2014,354,Motor vehicle seating and interior trim manufacturing,,,118,7780081,63759040
Clare,2014,61,Construction of other new residential structures,,,214,4992955,57987770
Clare,2014,440,Real estate,,,615,2568711,47580120
Clare,2014,513,Religious organizations,,,345,10847070,40686870
Clare,2014,385,Sporting and athletic goods manufacturing,,,159,10671010,39777180
Clare,2014,482,Hospitals,,,279,16654400,35511010
Clare,2014,280,Cutting tool and machine tool accessory manufacturing,,,159,14629290,32492490
Clinton,2014,441,Owner-occupied dwellings,,,0,0,340378400
Clinton,2014,395,Wholesale trade,,,1213,66937780,240139500
Clinton,2014,87,"Dry, condensed, and evaporated dairy product manufacturing",,,126,9609107,204324700
Clinton,2014,12,Dairy cattle and milk production,,,524,41583620,171907700
Clinton,2014,354,Motor vehicle seating and interior trim manufacturing,,,298,21636730,164303800
Clinton,2014,440,Real estate,,,1542,7621480,148573500
Clinton,2014,170,Phosphatic fertilizer manufacturing,,,54,6071172,118398800
Clinton,2014,61,Construction of other new residential structures,,,423,11865200,118135200
Clinton,2014,154,Printing,,,758,31683230,108771600
Clinton,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,127,22867700,104088600
Crawford,2014,482,Hospitals,,,568,37671030,76290300
Crawford,2014,138,Reconstituted wood product manufacturing,,,112,7668265,56173420
Crawford,2014,441,Owner-occupied dwellings,,,0,0,50669320
Crawford,2014,356,Other motor vehicle parts manufacturing,,,81,7218932,45413680
Crawford,2014,61,Construction of other new residential structures,,,153,2888776,40897580
Crawford,2014,395,Wholesale trade,,,143,6721457,26481630
Crawford,2014,531,"* Employment and payroll of state govt, non-education",,,222,21221360,24091980
Crawford,2014,50,Natural gas distribution,,,34,2677987,19880900
Crawford,2014,440,Real estate,,,263,326039,19629280
Crawford,2014,134,Sawmills,,,65,2674476,16883580
Delta,2014,147,Paper mills,,,762,90762060,618789100
Delta,2014,441,Owner-occupied dwellings,,,0,0,143623400
Delta,2014,249,Machine shops,,,528,33374620,80646340
Delta,2014,148,Paperboard mills,,,87,9234984,72635180
Delta,2014,482,Hospitals,,,480,33941990,66739340
Delta,2014,42,Electric power generation - Fossil  fuel,,,50,6357121,66660620
Delta,2014,395,Wholesale trade,,,338,17919480,65580660
Delta,2014,409,Rail transportation,,,198,20067990,62262940
Delta,2014,534,"* Employment and payroll of local govt, education",,,820,50186040,56489850
Delta,2014,433,Monetary authorities and depository credit intermediation,,,384,18376460,51490170
Dickinson,2014,147,Paper mills,,,486,49115380,380687500
Dickinson,2014,264,Construction machinery manufacturing,,,440,31579060,307862600
Dickinson,2014,138,Reconstituted wood product manufacturing,,,318,26511080,166064200
Dickinson,2014,229,Ferrous metal foundries,,,357,26725640,113834600
Dickinson,2014,395,Wholesale trade,,,492,32938560,107073600
Dickinson,2014,441,Owner-occupied dwellings,,,0,0,105217600
Dickinson,2014,535,"* Employment and payroll of federal govt, non-military",,,707,67568740,99612100
Dickinson,2014,533,"* Employment and payroll of local govt, non-education",,,1130,68524900,77197260
Dickinson,2014,49,Electric power transmission and distribution,,,55,8060330,74876660
Dickinson,2014,58,Construction of other new nonresidential structures,,,403,25627650,66203910
Eaton,2014,343,Automobile manufacturing,,,1080,69896660,1724578000
Eaton,2014,437,Insurance carriers,,,3288,314281200,1573392000
Eaton,2014,441,Owner-occupied dwellings,,,0,0,473658700
Eaton,2014,222,Secondary smelting and alloying of aluminum,,,476,24588520,426107200
Eaton,2014,395,Wholesale trade,,,1339,93029080,294662300
Eaton,2014,411,Truck transportation,,,1696,96037210,271037100
Eaton,2014,440,Real estate,,,1317,14902080,180912500
Eaton,2014,416,Warehousing and storage,,,1539,82241870,174751000
Eaton,2014,152,Sanitary paper product manufacturing,,,216,16571710,174633200
Eaton,2014,531,"* Employment and payroll of state govt, non-education",,,1581,142458700,161729100
Emmet,2014,344,Light truck and utility vehicle manufacturing,,,197,16243870,418444900
Emmet,2014,482,Hospitals,,,1489,106009900,207750900
Emmet,2014,526,Other local government enterprises,,,724,33266170,162870700
Emmet,2014,441,Owner-occupied dwellings,,,0,0,146667800
Emmet,2014,440,Real estate,,,971,6816326,109512400
Emmet,2014,475,Offices of physicians,,,585,61835530,86891640
Emmet,2014,499,"Hotels and motels, including casino hotels",,,725,17672830,72851470
Emmet,2014,502,Limited-service restaurants,,,942,16308560,72286020
Emmet,2014,464,Employment services,,,1688,38053960,69671460
Emmet,2014,395,Wholesale trade,,,311,15183690,57867800
Genesee,2014,344,Light truck and utility vehicle manufacturing,,,1993,189764300,4333224000
Genesee,2014,441,Owner-occupied dwellings,,,0,0,1559677000
Genesee,2014,427,Wired telecommunications carriers,,,3087,257046900,1295612000
Genesee,2014,395,Wholesale trade,,,6067,391157800,1290260000
Genesee,2014,482,Hospitals,,,6784,506122300,971446600
Genesee,2014,440,Real estate,,,5987,88250390,880127200
Genesee,2014,475,Offices of physicians,,,4971,477600500,691594400
Genesee,2014,534,"* Employment and payroll of local govt, education",,,9042,605594000,681662100
Genesee,2014,355,Motor vehicle metal stamping,,,1654,123872000,640854700
