county,table,sector,description,direct,indirect,induced,total
Barry,Output,520,92 Government & non NAICs,0,-1039.1468318866564,-474.912547240724,-1514.0593791273805
Barry,Employment,0,Total,-2.1449244022369385,-0.91051818116332539,-0.44181287262072644,-3.4972554560209907
Barry,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00042141079134754375,-0.0019027726415612226,-0.0023241834329087662
Barry,Employment,20,21 Mining,0,-0.00072422985225136178,-0.00028596746880342754,-0.0010101973210547893
Barry,Employment,41,22 Utilities,0,-0.0013648622810690826,-0.00051332178579469772,-0.0018781840668637803
Barry,Employment,52,23 Construction,0,-0.023723461244788652,-0.0070080173972604902,-0.030731478642049143
Barry,Employment,65,31-33 Manufacturing,0,-0.0021246152420025676,-0.00046530366571534946,-0.0025899189077179152
Barry,Employment,395,42 Wholesale Trade,-2.1449244022369385,-0.022306057038537289,-0.0065839723009480378,-2.1738144315764241
Barry,Employment,396,44-45 Retail trade,0,-0.013129637797308191,-0.07244325370879641,-0.085572891506104587
Barry,Employment,408,48-49 Transportation & Warehousing,0,-0.15123215743914062,-0.0066067736041290253,-0.15783893104326965
Barry,Employment,417,51-56 Professional Services,0,-0.57814161597930114,-0.12105655165048901,-0.69919816762979048
Barry,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.1139882436993948,-0.22341048214426645,-0.33739872584366121
Barry,Employment,520,92 Government & non NAICs,0,-0.0033618897981842351,-0.001536456252962359,-0.0048983460511465944
Bay,Output,0,Total,-1855366.3000000001,-399187.86144391226,-383633.52511206584,-2638187.6865559784
Bay,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-25.141645743617413,-227.1835803141052,-252.32522605772263
Bay,Output,20,21 Mining,0,-91.431039054428396,-73.105392593983865,-164.53643164841228
Bay,Output,41,22 Utilities,0,-29605.815666549133,-18254.184493486588,-47860.000160035721
Bay,Output,52,23 Construction,0,-7965.4973827938702,-4546.1947369823738,-12511.692119776244
Bay,Output,65,31-33 Manufacturing,0,-12507.047287268777,-2537.5119507836571,-15044.559238052436
Bay,Output,395,42 Wholesale Trade,-1855366.3000000001,-42322.863054740475,-18666.501077992303,-1916355.6641327329
Bay,Output,396,44-45 Retail trade,0,-4482.9621014190488,-45252.868942166555,-49735.831043585604
Bay,Output,408,48-49 Transportation & Warehousing,0,-47798.641472373325,-8067.9208907664406,-55866.562363139761
Bay,Output,417,51-56 Professional Services,0,-215881.84369023642,-145807.57215428262,-361689.41584451916
Bay,Output,472,"61-72 Educational, Health, Recreation Service",0,-34827.618596594933,-136696.23748211327,-171523.8560787082
Bay,Output,520,92 Government & non NAICs,0,-3678.9995071382264,-3504.244410584005,-7183.2439177222313
Bay,Employment,0,Total,-9.2157402038574219,-3.3096123967754387,-3.4429660122895682,-15.968318612922428
Bay,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00028160529002983,-0.0020826243034174326,-0.0023642295934472621
Bay,Employment,20,21 Mining,0,-0.00054663487261777995,-0.0004255958808576034,-0.00097223075347538325
Bay,Employment,41,22 Utilities,0,-0.022844430545921474,-0.01504961777919951,-0.037894048325120992
Bay,Employment,52,23 Construction,0,-0.055405473795700148,-0.030397317873719319,-0.085802791669419468
Bay,Employment,65,31-33 Manufacturing,0,-0.083734094373443285,-0.0091379467482777133,-0.092872041121720997
Bay,Employment,395,42 Wholesale Trade,-9.2157402038574219,-0.21022076756921163,-0.092717881098252672,-9.5186788525248858
Bay,Employment,396,44-45 Retail trade,0,-0.061254712935494844,-0.60875956242243945,-0.67001427535793445
Bay,Employment,408,48-49 Transportation & Warehousing,0,-0.48460081558396251,-0.066327232324255525,-0.55092804790821814
Bay,Employment,417,51-56 Professional Services,0,-1.8520447047238382,-0.59895514487820845,-2.4509998496020464
